quarter_exam,question,lecture
wi21-midterm,2,4
wi21-midterm,4,4
wi21-midterm,5,5
wi21-midterm,6,5
wi21-midterm,7,9
wi21-midterm,8,8
wi21-midterm,9,7
wi21-midterm,10,7
wi21-midterm,12,11
wi21-midterm,13,13
wi21-midterm,14,13
wi21-midterm,15,13
wi21-final,1,3
wi21-final,2,4
wi21-final,3,9
wi21-final,4,13
wi21-final,5,9
wi21-final,6,7
wi21-final,7,13
wi21-final,8,11
wi21-final,9,14
wi21-final,10,22
wi21-final,11,18
wi21-final,12,18
wi21-final,13,16
wi21-final,14,15
wi21-final,15,17
wi21-final,16,23
wi21-final,17,24
wi21-final,18,14
wi21-final,19,17
wi21-final,20,19
wi21-final,21,24
wi21-final,22,17
wi21-final,24,24
wi21-final,25,24
wi21-final,26,24
fa21-midterm,1,4
fa21-midterm,2,5
fa21-midterm,3,4
fa21-midterm,4,10
fa21-midterm,5,9
fa21-midterm,6,5
fa21-midterm,7,7
fa21-midterm,8,11
fa21-midterm,9,12
fa21-final,1,13
fa21-final,2,5
fa21-final,3,20
fa21-final,4,17
fa21-final,5,24
fa21-final,6,16
fa21-final,7,25
fa21-final,8,11
fa21-final,9,22
fa21-final,10,21
wi22-midterm,1,5
wi22-midterm,2,5
wi22-midterm,3,8
wi22-midterm,4,9
wi22-midterm,5,7
wi22-midterm,6,7
wi22-midterm,7,12
wi22-midterm,8,11
wi22-final,1,9
wi22-final,2,21
wi22-final,3,20
wi22-final,4,22
wi22-final,5,11
wi22-final,6,16
wi22-final,7,25
wi22-final,8,16
wi22-final,9,17
sp22-midterm,1,4
sp22-midterm,2,7
sp22-midterm,3,4
sp22-midterm,4,5
sp22-midterm,5,5
sp22-midterm,6,9
sp22-midterm,7,9
sp22-midterm,8,10
sp22-midterm,9,6
sp22-midterm,11,12
sp22-midterm,12,11
sp22-final,1,4
sp22-final,2,5
sp22-final,3,8
sp22-final,4,9
sp22-final,5,8
sp22-final,6,13
sp22-final,7,24
sp22-final,8,20
sp22-final,9,22
sp22-final,10,10
sp22-final,11,7
sp22-final,12,16
sp22-final,13,16
sp22-final,14,17
sp22-final,15,20
sp22-final,16,11
sp22-final,17,25
sp22-final,18,25
su22-final,1,6
su22-final,2,5
su22-final,3,5
su22-final,4,10
su22-final,5,13
su22-final,6,20
su22-final,7,22
su22-final,8,17
su22-final,9,18
su22-final,10,25
su22-final,11,22
fa22-midterm,2,6
fa22-midterm,3,8
fa22-midterm,4,5
fa22-midterm,5,8
fa22-midterm,6,11
fa22-midterm,7,9
fa22-midterm,8,12
fa22-midterm,9,7
fa22-final,1,7
fa22-final,2,20
fa22-final,3,14
fa22-final,4,22
fa22-final,5,22
fa22-final,6,24
fa22-final,7,11
fa22-final,8,11
fa22-final,9,18
fa22-final,10,17
fa22-final,11,16
wi23-midterm,1,4
wi23-midterm,2,8
wi23-midterm,3,5
wi23-midterm,4,4
wi23-midterm,5,8
wi23-midterm,6,10
wi23-midterm,7,10
wi23-midterm,8,10
wi23-midterm,9,9
wi23-midterm,10,9
wi23-midterm,11,9
wi23-midterm,12,11
wi23-final,1,8
wi23-final,2,5
wi23-final,3,11
wi23-final,4,22
wi23-final,5,13
wi23-final,6,22
wi23-final,7,24
wi23-final,8,24
wi23-final,9,22
wi23-final,10,18
wi23-final,11,10
wi23-final,12,10
wi23-final,13,12
wi23-final,14,13
wi23-final,15,9
wi23-final,16,20
sp23-midterm,1,5
sp23-midterm,2,8
sp23-midterm,3,10
sp23-midterm,4,5
sp23-midterm,5,9
sp23-midterm,6,7
sp23-midterm,7,11
sp23-midterm,8,12
sp23-final,1,9
sp23-final,2,9
sp23-final,3,16
sp23-final,4,10
sp23-final,5,20
sp23-final,6,21
sp23-final,7,22
sp23-final,8,16
sp23-final,9,12
sp23-final,10,20
sp23-final,11,24
fa23-midterm,1,6
fa23-midterm,2,5
fa23-midterm,3,8
fa23-midterm,4,9
fa23-midterm,5,7
fa23-midterm,6,9
fa23-midterm,7,11
fa23-midterm,8,12
fa23-final,1,2
fa23-final,2,9
fa23-final,3,5
fa23-final,4,6
fa23-final,5,9
fa23-final,6,20
fa23-final,7,20
fa23-final,8,13
fa23-final,9,11
fa23-final,10,14
fa23-final,11,16
fa23-final,12,14
fa23-final,13,7
fa23-final,14,23
wi24-midterm,1,5
wi24-midterm,2,8
wi24-midterm,3,5
wi24-midterm,4,10
wi24-midterm,5,11
wi24-midterm,6,12
wi24-midterm,7,9
wi24-midterm,8,7
wi24-final,1,4
wi24-final,2,5
wi24-final,3,23
wi24-final,4,8
wi24-final,5,18
wi24-final,6,17
wi24-final,7,19
wi24-final,8,23
wi24-final,9,9
wi24-final,10,17
wi24-final,11,20
wi24-final,12,22
wi24-final,13,"14, 17"
wi24-final,14,16
wi24-final,15,11
wi24-final,16,7
sp24-midterm,1,8
sp24-midterm,2,4
sp24-midterm,3,5
sp24-midterm,4,11
sp24-midterm,5,12
sp24-midterm,6,9
sp24-midterm,7,8
sp24-midterm,8,9
sp24-midterm,9,7
sp24-midterm,10,7
sp24-final,1,7
sp24-final,2,9
sp24-final,3,9
sp24-final,4,15
sp24-final,5,16
sp24-final,6,"14, 18"
sp24-final,7,14
sp24-final,8,3
sp24-final,9,"2, 4"
sp24-final,10,21
sp24-final,11,11
sp24-final,12,25
sp24-final,13,8
sp24-final,14,24
sp24-final,15,5
sp24-final,16,20
su24-midterm,1,"4, 8"
su24-midterm,2,5
su24-midterm,3,"4,5"
su24-midterm,4,6
su24-midterm,5,9
su24-midterm,6,7
su24-midterm,7,9
su24-midterm,8,11
su24-midterm,9,12
su24-final,1,"5, 9"
su24-final,2,12
su24-final,3,14
su24-final,4,16
su24-final,5,17
su24-final,6,22
su24-final,7,20
su24-final,8,22
su24-final,9,24
fa24-midterm,1,4
fa24-midterm,2,4
fa24-midterm,3,12
fa24-midterm,4,8
fa24-midterm,5,5
fa24-midterm,6,11
fa24-midterm,7,12
fa24-midterm,8,9
fa24-midterm,9,9
fa24-midterm,10,7
fa24-midterm,11,5
fa24-midterm,12,6
fa24-midterm,13,5
fa24-final,1,"2,4,6"
fa24-final,2,10
fa24-final,3,11
fa24-final,4,17
fa24-final,5,22
fa24-final,6,8
fa24-final,7,20
fa24-final,8,7
fa24-final,9,17
fa24-final,10,20
fa24-final,11,24
wi25-midterm,1,4
wi25-midterm,2,9
wi25-midterm,3,8
wi25-midterm,4,7
wi25-midterm,5,"9, 12"
wi25-midterm,6,12
wi25-final,1,8
wi25-final,2,"5, 14"
wi25-final,3,11
wi25-final,4,16
wi25-final,5,"12, 17"
wi25-final,6,22
wi25-final,7,20
wi25-final,8,25
wi25-final,9,9
wi25-final,10,18
sp25-midterm,1,5
sp25-midterm,2,8
sp25-midterm,3,10
sp25-midterm,4,7
sp25-midterm,5,9
sp25-midterm,6,11
sp25-midterm,7,12
sp25-final,1,15
sp25-final,2,11
sp25-final,3,4
sp25-final,4,10
sp25-final,5,15
sp25-final,6,21
sp25-final,7,25
sp25-final,8,20
sp25-final,9,16
fa25-midterm,1,8
fa25-midterm,2,9
fa25-midterm,3,6
fa25-midterm,4,10
fa25-midterm,5,9
fa25-midterm,6,7
